10,BRA,519MHa,62,"2,262,241","7,586,752",57%,41%,2%,"1,823,443 ha",94%,"7,282,391 ha ",USD 22.5 billion,1.1% of the GDP.,"772 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",519 kha/year,"59,222 million metric tons of carbon stocks",44.5% of GHG emissions,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
11,VGB,,,,,,,,,,,,,,,,,
12,IOT,,,,,,,,,,,,,,,,,
13,BRN,528KHa,92,"1,772","8,770",30%,69%,1%,,,0 ha ,USD 10.2 million,0.06% of the GDP.,"2 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",0.4 kha/year,72 million metric tons of carbon stocks,9.2% of GHG emissions,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
14,BGR,4MHa,37,"4,767","67,807",71%,9%,20%,,,"637,129 ha ",USD 482.1 million,1.0% of the GDP.,"50 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",22.4 kha/year,213 million metric tons of carbon stocks,,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
15,BFA,132Ha,0,0,0,96%,,4%,,,0 ha ,USD 308.5 million,3.5% of the GDP.,"17 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",14.013 kha/year,247 million metric tons of carbon stocks,36.1% of GHG emissions,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
16,BDI,538KHa,22,"1,556","3,565",42%,14%,44%,,,0 ha ,USD 70.6 million,3.2% of the GDP.,"2 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",5.4 kha/year,27 million metric tons of carbon stocks,57.5% of GHG emissions,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
17,KHM,9MHa,50,"123,778","109,563",96%,3%,1%,"118,339 ha",62%,"12,746 ha ",USD 390.3 million,3.2% of the GDP.,"7 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",5.855 kha/year,433 million metric tons of carbon stocks,47.4% of GHG emissions,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
18,CMR,31MHa,68,"140,853","65,088",,,,,,"1,013,374 ha ",USD 695.3 million,2.8% of the GDP.,"22 thousand people are directly employed by the forestry sector, according to 2011 FAO data.","2,548 million metric tons of carbon stocks",57.6% of GHG emissions,,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
19,CAN,418MHa,49,"2,075,558","9,107,233",36%,59%,5%,,,"171,963,239 ha ",USD 19.8 billion,1.2% of the GDP.,"234 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",401 kha/year,"13,908 million metric tons of carbon stocks",16.6% of GHG emissions,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
