,country,tree_cover,tree_cover_%_2000,tree_cover_loss_2014,cover_gain,forest_type_nat,forest_type_pri,forest_type_pla,loss_outside_plant,loss_outside_plant_%,certified_forest,total_economy,percentage_economy,employment,reforestation_rate_10,carbon,GHG_emissions,conventions
11,ARM,337KHa,12,38,"1,278",88%,5%,7%,,,0 ha ,USD 17.0 million,0.2% of the GDP.,"5 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",6.8 kha/year,16 million metric tons of carbon stocks,8.4% of GHG emissions,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
12,ABW,24Ha,0,0,1,,,,,,0 ha ,,,,,,,[]
13,AUS,42MHa,6,"215,880","1,414,572",94%,4%,2%,,,"11,136,920 ha ",USD 7.7 billion,0.9% of the GDP.,"67 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",,,5.4% of GHG emissions,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
14,AUT,4MHa,52,"7,018","65,824",53%,3%,44%,,,"2,782,575 ha ",USD 7.1 billion,1.9% of the GDP.,"65 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",75.7 kha/year,391 million metric tons of carbon stocks,5.6% of GHG emissions,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
15,AZE,1MHa,15,323,865,55%,43%,2%,,,0 ha ,USD 16.2 million,0.03% of the GDP.,"4 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",10.7 kha/year,54 million metric tons of carbon stocks,,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
16,BHS,304KHa,26,486,787,100%,,,,,0 ha ,USD 3.3 million,0.04% of the GDP.,"According to FAO data, 1.2% of GHG emissions in this country came from land-use change and forestry in 2011.",,,,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
17,BHR,,,,,,,,,,,,,,,,,
18,BGD,2MHa,15,"8,929","7,022",52%,29%,19%,,,0 ha ,USD 1.5 billion,1.3% of the GDP.,"44 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",8.14 kha/year,99 million metric tons of carbon stocks,16.5% of GHG emissions,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
19,BRB,5KHa,12,1,196,100%,,,,,0 ha ,,,,,,,[]
0,BLR,9MHa,44,"27,331","375,557",73%,5%,22%,,,"13,157,274 ha ",USD 575.0 million,1.1% of the GDP.,"113 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",2.49 kha/year,646 million metric tons of carbon stocks,,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
1,BEL,864KHa,28,"3,467","37,357",42%,,58%,,,"310,155 ha ",USD 2.7 billion,0.6% of the GDP.,"28 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",2.227 kha/year,72 million metric tons of carbon stocks,,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
2,BLZ,2MHa,81,"14,497","12,796",56%,44%,,,,"65,044 ha ",USD 15.1 million,1.1% of the GDP.,"2 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",,169 million metric tons of carbon stocks,34.2% of GHG emissions,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
3,BEN,169KHa,1,"1,174","6,899",99%,,1%,,,0 ha ,USD 145.4 million,2.2% of the GDP.,"2 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",14.6 kha/year,248 million metric tons of carbon stocks,49.3% of GHG emissions,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
4,BMU,604Ha,11,0,38,,,,,,0 ha ,,,,,,,[]
5,BTN,3MHa,65,982,"2,159",84%,15%,1%,,,0 ha ,USD 66.9 million,3.8% of the GDP.,"3 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",0.264 kha/year,293 million metric tons of carbon stocks,,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
6,BOL,65MHa,60,"220,469","173,608",34%,66%,,,,"890,628 ha ",USD 431.0 million,2.2% of the GDP.,"9 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",3 kha/year,"4,442 million metric tons of carbon stocks",66.3% of GHG emissions,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
7,BIH,3MHa,52,"1,310","26,485",54%,,46%,,,"1,519,235 ha ",USD 254.3 million,1.7% of the GDP.,"13 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",,118 million metric tons of carbon stocks,0.86% of GHG emissions,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
8,BWA,20KHa,0,15,90,100%,,,,,0 ha ,USD 97.4 million,0.7% of the GDP.,"2 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",,636 million metric tons of carbon stocks,44.3% of GHG emissions,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
9,BVT,,,,,,,,,,,,,,,,,
10,BRA,519MHa,62,"2,262,241","7,586,752",57%,41%,2%,"1,823,443 ha",94%,"7,282,391 ha ",USD 22.5 billion,1.1% of the GDP.,"772 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",519 kha/year,"59,222 million metric tons of carbon stocks",44.5% of GHG emissions,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
11,VGB,,,,,,,,,,,,,,,,,
12,IOT,,,,,,,,,,,,,,,,,
13,BRN,528KHa,92,"1,772","8,770",30%,69%,1%,,,0 ha ,USD 10.2 million,0.06% of the GDP.,"2 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",0.4 kha/year,72 million metric tons of carbon stocks,9.2% of GHG emissions,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
14,BGR,4MHa,37,"4,767","67,807",71%,9%,20%,,,"637,129 ha ",USD 482.1 million,1.0% of the GDP.,"50 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",22.4 kha/year,213 million metric tons of carbon stocks,,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
15,BFA,132Ha,0,0,0,96%,,4%,,,0 ha ,USD 308.5 million,3.5% of the GDP.,"17 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",14.013 kha/year,247 million metric tons of carbon stocks,36.1% of GHG emissions,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
16,BDI,538KHa,22,"1,556","3,565",42%,14%,44%,,,0 ha ,USD 70.6 million,3.2% of the GDP.,"2 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",5.4 kha/year,27 million metric tons of carbon stocks,57.5% of GHG emissions,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
17,KHM,9MHa,50,"123,778","109,563",96%,3%,1%,"118,339 ha",62%,"12,746 ha ",USD 390.3 million,3.2% of the GDP.,"7 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",5.855 kha/year,433 million metric tons of carbon stocks,47.4% of GHG emissions,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
18,CMR,31MHa,68,"140,853","65,088",,,,,,"1,013,374 ha ",USD 695.3 million,2.8% of the GDP.,"22 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",,"2,548 million metric tons of carbon stocks",57.6% of GHG emissions,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
19,CAN,418MHa,49,"2,075,558","9,107,233",36%,59%,5%,,,"171,963,239 ha ",USD 19.8 billion,1.2% of the GDP.,"234 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",401 kha/year,"13,908 million metric tons of carbon stocks",16.6% of GHG emissions,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
0,CPV,7KHa,2,4,"2,034",6%,,94%,,,0 ha ,,,,,,,[]
1,CYM,13KHa,51,7,43,,,,,,0 ha ,,,,,,,[]
2,CAF,47MHa,76,"48,983","39,464",91%,9%,,,,0 ha ,USD 72.3 million,3.5% of the GDP.,"6 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",0.35 kha/year,"2,843 million metric tons of carbon stocks",23.2% of GHG emissions,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
3,TCD,410KHa,0,"2,179",75,100%,,,,,0 ha ,USD 73.3 million,0.8% of the GDP.,"1 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",0.3 kha/year,268 million metric tons of carbon stocks,35.3% of GHG emissions,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
4,CHL,19MHa,26,"108,247","1,460,991",53%,30%,17%,,,"4,252,913 ha ",USD 7.6 billion,3.3% of the GDP.,"85 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",75.1 kha/year,"1,492 million metric tons of carbon stocks",,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
5,CHN,163MHa,18,"383,591","2,238,877",57%,6%,37%,,,"3,144,452 ha ",USD 126.0 billion,1.6% of the GDP.,"3.84 million people are directly employed by the forestry sector, according to 2011 FAO data.",290.1 kha/year,"6,787 million metric tons of carbon stocks",,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
6,HKG,62KHa,58,17,263,,,,,,0 ha ,,,,,,,[]
7,MAC,401Ha,16,1,2,,,,,,0 ha ,,,,,,,[]
8,CXR,,,,,,,,,,,,,,,,,
9,CCK,,,,,,,,,,,,,,,,,
10,COL,82MHa,73,"165,506","551,734",,,100%,"136,466 ha",98%,"127,204 ha ",USD 1.8 billion,0.6% of the GDP.,"48 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",,"8,867 million metric tons of carbon stocks",22.8% of GHG emissions,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
11,COM,135KHa,82,"1,152",429,70%,22%,8%,,,0 ha ,,,,0.11 kha/year,This country has 1 million metric tons of carbon stocks in living forest biomass.,34.4% of GHG emissions,[]
12,COG,26MHa,78,"58,905","46,645",67%,33%,,,,"1,319,300 ha ",USD 149.1 million,0.9% of the GDP.,"9 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",,"3,427 million metric tons of carbon stocks",56.7% of GHG emissions,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
13,COD,199MHa,87,"1,100,879","1,392,572",33%,67%,,,,0 ha ,USD 85.1 million,0.6% of the GDP.,"16 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",,"19,441 million metric tons of carbon stocks",82.0% of GHG emissions,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
14,COK,,,,,,,,,,,,,,,,,
15,CRI,4MHa,77,"9,024","38,151",34%,66%,,,,"52,740 ha ",USD 391.3 million,1.0% of the GDP.,"15 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",4130.96 kha/year,253 million metric tons of carbon stocks,,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
16,CIV,15MHa,47,"269,174","229,767",90%,6%,4%,,,0 ha ,USD 377.3 million,1.7% of the GDP.,"33 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",,"1,937 million metric tons of carbon stocks",15.6% of GHG emissions,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
17,HRV,2MHa,43,"3,228","26,469",96%,,4%,,,"2,038,296 ha ",USD 781.7 million,1.5% of the GDP.,"26 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",7.51 kha/year,256 million metric tons of carbon stocks,,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
18,CUB,4MHa,37,"4,017","227,170",83%,,17%,,,0 ha ,USD 103.9 million,0.2% of the GDP.,"25 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",0.004 kha/year,312 million metric tons of carbon stocks,,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
19,CYP,102KHa,11,54,201,75%,8%,17%,,,0 ha ,USD 110.8 million,0.5% of the GDP.,"4 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",0.229 kha/year,4 million metric tons of carbon stocks,,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
0,CZE,3MHa,39,"11,125","133,107",,100%,,,,"1,894,637 ha ",USD 3.5 billion,1.8% of the GDP.,"109 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",25.624 kha/year,366 million metric tons of carbon stocks,,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
1,DNK,663KHa,16,"3,815","32,196",19%,6%,75%,,,"452,557 ha ",USD 1.5 billion,0.5% of the GDP.,"19 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",3 kha/year,41 million metric tons of carbon stocks,2.3% of GHG emissions,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
2,DJI,,,,,,,,,,,,,,,,,
3,DMA,71KHa,95,12,13,39%,61%,,,,0 ha ,,,,,,24.8% of GHG emissions,[]
4,DOM,3MHa,54,"10,158","39,307",94%,,6%,,,0 ha ,USD 20.8 million,0.04% of the GDP.,"11 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",9 kha/year,142 million metric tons of carbon stocks,,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
5,ECU,19MHa,75,"24,641","102,684",,99%,1%,,,"52,580 ha ",USD 1.7 billion,2.3% of the GDP.,"26 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",,"1,490 million metric tons of carbon stocks",60.2% of GHG emissions,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
6,EGY,154KHa,0,104,"4,973",,,100%,,,0 ha ,USD 442.6 million,0.2% of the GDP.,"39 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",,7 million metric tons of carbon stocks,,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
7,SLV,989KHa,49,"1,818","8,598",92%,2%,6%,,,0 ha ,USD 344.8 million,1.6% of the GDP.,"19 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",,,10.4% of GHG emissions,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
8,GNQ,3MHa,99,"15,181","5,567",100%,,,,,0 ha ,USD 36.3 million,0.3% of the GDP.,"1 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",0 kha/year,195 million metric tons of carbon stocks,20.2% of GHG emissions,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
9,ERI,4Ha,4,0,5,97%,,3%,,,0 ha ,USD 0.6 million,0.02% of the GDP.,,,,"According to FAO data, 7.2% of GHG emissions in this country came from land-use change and forestry in 2011.","[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
10,EST,3MHa,61,"19,637","89,431",90%,3%,7%,,,"3,013,048 ha ",USD 846.6 million,4.3% of the GDP.,"21 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",23.77 kha/year,165 million metric tons of carbon stocks,31.4% of GHG emissions,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
11,ETH,12MHa,11,"28,219","62,537",92%,,8%,,,0 ha ,USD 893.7 million,3.2% of the GDP.,"9 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",,219 million metric tons of carbon stocks,18.0% of GHG emissions,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
12,FLK,,,,,,,,,,,,,,,,,
13,FRO,,,,,,,,,,,,,,,,,
14,FJI,2MHa,87,"3,140","11,895",44%,40%,16%,,,"85,680 ha ",USD 61.8 million,2.0% of the GDP.,"4 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",3.956 kha/year,,,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
15,FIN,22MHa,71,"157,812","1,084,872",68%,1%,31%,,,"21,081,786 ha ",USD 9.6 billion,4.3% of the GDP.,"75 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",140 kha/year,780 million metric tons of carbon stocks,8.2% of GHG emissions,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
16,FRA,17MHa,31,"35,710","506,164",88%,,12%,,,"7,944,974 ha ",USD 14.6 billion,0.6% of the GDP.,"161 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",,"1,364 million metric tons of carbon stocks",,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
17,GUF,8MHa,99,"3,576","4,154",4%,96%,,,,0 ha ,USD 20.9 million,0.5% of the GDP.,"1 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",0 kha/year,"1,661 million metric tons of carbon stocks",,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
18,PYF,0Ha,0,0,0,68%,26%,6%,,,0 ha ,,,,0 kha/year,This country has 21 million metric tons of carbon stocks in living forest biomass.,,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
19,ATF,,,,,,,,,,,,,,,,,
0,GAB,25MHa,94,"41,704","39,070",44%,56%,,,,"2,053,505 ha ",USD 422.2 million,1.8% of the GDP.,"21 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",,"2,992 million metric tons of carbon stocks",6.4% of GHG emissions,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
1,GMB,5KHa,0,11,25,100%,,,,,0 ha ,USD 4.8 million,0.6% of the GDP.,"2 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",,32 million metric tons of carbon stocks,,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
2,GEO,3MHa,45,104,"4,788",80%,18%,2%,,,0 ha ,USD 61.4 million,0.5% of the GDP.,"11 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",0 kha/year,212 million metric tons of carbon stocks,,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
3,DEU,13MHa,35,"15,981","258,493",54%,,46%,,,"8,323,961 ha ",USD 26.1 billion,0.8% of the GDP.,"317 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",48 kha/year,"1,189 million metric tons of carbon stocks",,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
4,GHA,7MHa,30,"93,511","134,527",92%,4%,4%,,,"1,675 ha ",USD 1.3 billion,3.5% of the GDP.,"37 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",20 kha/year,713 million metric tons of carbon stocks,53.5% of GHG emissions,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
5,GIB,,,,,,,,,,,,,,,,,
6,GRC,4MHa,28,"2,688","35,571",97%,,3%,,,0 ha ,USD 1.0 billion,0.4% of the GDP.,"33 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",,82 million metric tons of carbon stocks,,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
7,GRL,,,,,,,,,,,,,,,,,
8,GRD,29KHa,81,80,72,85%,14%,1%,,,0 ha ,,,,,,,[]
9,GLP,,,,,,,,,,,,,,,,,
10,GUM,,,,,,,,,,,,,,,,,
11,GTM,8MHa,71,"48,654","109,466",57%,38%,5%,,,"464,875 ha ",USD 462.4 million,1.0% of the GDP.,"15 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",10 kha/year,271 million metric tons of carbon stocks,40.9% of GHG emissions,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
12,GGY,2KHa,18,0,18,,,,,,0 ha ,,,,0 kha/year,,,[]
13,GIN,8MHa,33,"86,406","29,669",97%,1%,2%,,,0 ha ,USD 220.1 million,4.3% of the GDP.,"10 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",,602 million metric tons of carbon stocks,47.4% of GHG emissions,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
14,GNB,1MHa,32,"10,315","6,529",100%,,,,,0 ha ,USD 20.9 million,2.4% of the GDP.,"1 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",,94 million metric tons of carbon stocks,49.6% of GHG emissions,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
15,GUY,19MHa,91,"8,083","11,390",61%,39%,,,,0 ha ,USD 95.7 million,4.1% of the GDP.,"9 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",0.027 kha/year,"4,809 million metric tons of carbon stocks",52.9% of GHG emissions,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
16,HTI,858KHa,32,"2,998","4,806",67%,,33%,,,0 ha ,USD 7.5 million,0.1% of the GDP.,"1 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",0.8 kha/year,5 million metric tons of carbon stocks,2.0% of GHG emissions,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
17,HMD,,,,,,,,,,,,,,,,,
18,VAT,,,,,,,,,,,,,,,,,
19,HND,8MHa,69,"44,608","58,291",90%,10%,,,,"87,755 ha ",USD 146.0 million,0.8% of the GDP.,"13 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",,292 million metric tons of carbon stocks,58.5% of GHG emissions,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
