10,JAM,745.5KHa,,,,72%,26%,2%,,,0 ha ,USD 64.1 million,0.5% of the GDP.,"2 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",0.06 kha/year,47 million metric tons of carbon stocks,7.9% of GHG emissions,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
11,JPN,26MHa,72,"22,316","257,182",39%,20%,41%,,,"421,688 ha ",USD 39.0 billion,0.7% of the GDP.,"375 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",24 kha/year,,,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
12,JEY,2KHa,13,0,27,,,,,,0 ha ,0 kha/year,,Jersey stories,,,,[]
13,JOR,2KHa,0,0,8,52%,,48%,,,0 ha ,USD 129.4 million,0.5% of the GDP.,"8 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",2 million metric tons of carbon stocks,,,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
14,KAZ,4MHa,2,488,"23,877",73%,,27%,,,0 ha ,USD 173.2 million,0.1% of the GDP.,"11 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",137 million metric tons of carbon stocks,0.18% of GHG emissions,,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
15,KEN,3MHa,6,"12,617","100,418",95%,,5%,,,0 ha ,USD 365.1 million,1.2% of the GDP.,"18 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",5.4 kha/year,634 million metric tons of carbon stocks,14.5% of GHG emissions,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
16,KIR,,,,,,,,,,,,,,,,,
17,PRK,5MHa,43,"8,424","13,683",72%,14%,14%,,,0 ha ,USD 456.0 million,2.9% of the GDP.,"14 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",152 million metric tons of carbon stocks,16.5% of GHG emissions,,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
18,KOR,5MHa,54,"9,853","27,177",14%,56%,30%,,,"381,192 ha ",USD 8.2 billion,0.8% of the GDP.,"101 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",21 kha/year,419 million metric tons of carbon stocks,,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
19,KWT,,,,,,,,,,,,,,,,,
